model,pr_auc,precision_at_top10pct,pr_auc_lift,p10_lift
naive_baseline,0.2805403288958496,0.2805403288958496,1.0,1.0
HGB,0.4594411522310406,0.5450097847358122,1.6377009110929208,1.9427145711308647
RF,0.44826999306146675,0.5332681017612525,1.5978807568443631,1.9008607563129645
